Duplicate ,File,,,,
CS 4500,,,,,
8/23/2024,19:00,19:54,1,0,
8/23/2024,19:54,19:55,1,2,
8/27/2024,18:07,18:37,1,0,
9/5/2024,17:50,18:08,1,0,
9/5/2024,18:09,18:10,1,2,
9/5/2024,18:11,18:33,1,0,
9/5/2024,18:34,18:37,1,2,
9/10/2024,18:16,18:24,1,C,
9/10/2024,18:56,18:59,1,2,
9/16/2024,19:00,19:10,1,6,
9/17/2024,19:02,19:35,1,0,
9/17/2024,19:36,17:39,1,2,
9/20/2024,16:10,16:15,1,6,
9/20/2024,17:05,17:21,1,2,
9/21/2024,13:40,16:09,1,6,
9/21/20204,19:43,22:30,1,6,
9/22/2024,9:10,11:06,1,6,
9/24/2024,18:00,18:20,1,0,
9/24/2024,18:21,18:24,1,2,
9/24/2024,20:38,21:14,1,7,
9/25/2024,18:34,21:08,1,7,
9/26/2024,18:25,18:40,1,7, 
